,Clean_Rating,Clean_Review,Time
0,4.0 out of 5 stars,Nice t-shirt with great colour combination. I ordered medium size but I found this T-shirt large to fit on my body. Neck is also somewhat higher.I would suggest if medium size cloths fit you then go for small size of this product. Overall nice t-shirt,28 January 2018
1,4.0 out of 5 stars,Material is thin not suitable for heavy winters.Quality is good when compared to the price for which I got (225/-) but yeah the cloth is too thin,27 January 2018
2,4.0 out of 5 stars,Bought it at the right price so no regrets. Don't pay more than 300-350 for it because the material isn't that great. Perfect fit according to size chart,24 February 2018
3,5.0 out of 5 stars,Product is really nice but bit short on size should go one size larger e.g.. if you normally wear bit loose and ur regular size is Large then you should order for XL.. apart from that everything is as shown in picture,3 June 2018
4,4.0 out of 5 stars,i just brought bcz it look good and then i realized I'm fat guy and that is skinny shirt and if you know what i mean that not go with my personality.welll f off I'm swiping my floor with this one and trust me it's better then i expected.,8 November 2018
5,1.0 out of 5 stars,"Don’t buy, not great quality, just OK but the sizes are too small. I am L size and the product was too small for me so I exchanged for an XL size, still it doesn’t fit me.XL. Is like medium. Didn’t even bother returning/replacing it anymore, might just give it away to someone.",11 December 2018
6,5.0 out of 5 stars,Best Quality kasto Shirt &amp; thanks Amazon......,13 February 2018
7,4.0 out of 5 stars,5.3` suggest small size comfortable &amp; fit NCGood quality materialAwesome!,1 July 2018
8,4.0 out of 5 stars,Good quality wise fits well colour don’t fades......But go for a unique colour because this is a very common T shirt everyone is purchasing it..I realised it after wearing it. So bunch of people wearing same colour,2 September 2018
9,3.0 out of 5 stars,The product is of good quality at this price but I’m disappointed because after one wash it shrunk and now it’s no more comfortable.It’s better to order one size larger than you already wear.,23 October 2018
10,3.0 out of 5 stars,"The fit is for individuals who have smaller body frame and the arms don't fit for someone who exercises. Overall the fit is not for average Indian. The quality also is on lower side, after 5-6 washes in machine, the stich had started to worn out.",9 February 2019
11,5.0 out of 5 stars,"Good quality, Perfect fitting.No colour faded untill now.",12 June 2017
12,3.0 out of 5 stars,"I purchase it Rs. 240 at amazon sale. It is average product. I wear normally M size in other brand, but I order L size even it is very fitting. Length is OK but not fit. Spent some more and go for other brand",26 October 2018
13,5.0 out of 5 stars,"Nice product worth for money grab it,....",30 June 2017
14,4.0 out of 5 stars,Looking good but quality should be considered.Little bit costlier when compared to material quality otherwise fine,19 July 2018
15,4.0 out of 5 stars,Product when I Receive Looks Awesome And Looks Same As shown In Picture If You Want A Cool T-shirt In A Good Price Then No One Is Better Option Go For This Fit As Expected,19 October 2018
16,4.0 out of 5 stars,"Nice good quality product, also good in fitting.",10 October 2017
17,5.0 out of 5 stars,Nice product in this price range... Very comfortable and good cloth.. Before order please check the sizes which comfortable to u.. I am very happy to this T-shirt. Thanks Amazon,19 September 2017
18,4.0 out of 5 stars,if i say right then this is best and fit product for me. Product is good quality and best price.,9 April 2019
19,5.0 out of 5 stars,I'm feeling zeal after got this product at my door. It is same as the product displaying in image and perfect fit with the given resolutions and measurements. I'd like to buy more product of this materials in nearest future.,7 December 2018
20,1.0 out of 5 stars,"First experience in life :) T-shirt got shrink and tilted towards one side after wash. Forgot to click a photograph, you would have laughed too after seeing.",28 January 2019
21,5.0 out of 5 stars,You will get what you have paid for and what you have seen in the pictures nothing more and less and the fitting is also good .,16 November 2018
22,5.0 out of 5 stars,Yes i feel this order the shirt size is little big in size but its ok iam using it for more then a months quality is good received the same product which ordered . thank you amazon,26 April 2017
23,1.0 out of 5 stars,"It is not like that which is shown on amazon, the product doesn't look like at all which is shown on amazon. I have ordered light blue shirt and they have delivered me dark blue color and it doesnt fit me as well. Quality is not as good as expected. Don't buy it.",21 March 2019
24,5.0 out of 5 stars,"Product is awesome. The fitting is perfect , though a bit on the tighter side. Surely would look good on a Muscular body type. Cloth is also nice. Will update post 2-3 weeks of usage",28 August 2018
25,4.0 out of 5 stars,Nice fiting and look gud👍🏻,1 August 2018
26,4.0 out of 5 stars,"the t shirt fits perfect and comfortable. worth for the money. but i got 1 of the 3 t shirt with hole and returning it. happens randomly. for lean body it suits good. bought red/black, dark grey/black and light grey/navy blue.",30 October 2018
27,5.0 out of 5 stars,Perfect fit and flexible.. better option at reasonable price .. go for it..,19 June 2017
28,4.0 out of 5 stars,"Product quality is good and I got it on time.only one matter I ordered XL size which is a bit large than most of the XL size,except that thing overall is too good.",5 January 2017
29,5.0 out of 5 stars,"fit to me, nice t shirt",22 August 2017
30,5.0 out of 5 stars,It really looks and quality wise good and soft material. I do use 42 size shirt and it fit to me.,23 October 2018
31,5.0 out of 5 stars,Best fitComfortable clothAwesomeRefer to my friendsOn time deliveryPlease load more such Tees from the buyer,30 April 2017
32,1.0 out of 5 stars,cheap with no quality. Returned on the same day i received.,25 March 2019
33,2.0 out of 5 stars,Bought XL but very tight although I am average build so not wearing anymore. Cloth quality is fine for the price.,13 November 2018
34,2.0 out of 5 stars,Ok - ok product.Neck is very tight.Can get better product in same price range,7 August 2018
35,5.0 out of 5 stars,"Just a bit tight on sleeves, otherwise a great product. 10/10. :)",4 March 2019
36,3.0 out of 5 stars,Size is perfect fit. But releases light black colour in first wash.,22 July 2018
37,5.0 out of 5 stars,Wow. Very nice quality. Got it for my brother.If you are lean go for it. It will fit you like a dream.,21 November 2018
38,1.0 out of 5 stars,Bed T-shirt and very costly,17 July 2018
39,4.0 out of 5 stars,I really love full sleeve tees and this one lives upto my expectation.....value for money..go for it,1 February 2017
40,3.0 out of 5 stars,The shirt looks great and the fit is awesome...But: it came with a big stain on the back of the shirt.. Looks like an oil stain :(,21 April 2018
41,4.0 out of 5 stars,Good product &amp; it's fit well.Quality of cloth is good.4 star's,4 June 2018
42,3.0 out of 5 stars,Fits as expected and quality is just okay,27 October 2018
43,3.0 out of 5 stars,"Product quality was fine, but I ordered Medium got labeled medium on the t-shirt wrapping, but the printed size detail on tshirt was S, small!Now I'm confused whether to go for M or L.",8 April 2019
44,4.0 out of 5 stars,"Excellent fit,and quality is good",21 March 2019
45,5.0 out of 5 stars,"The product paid its worth,the material is good and it fits to your body well.Can be worn in moderate cold conditions.It dosen't help you look good but yeah it makes you feel comfortable",7 December 2018
46,3.0 out of 5 stars,The quality is sub-par but it's reasonable for the price,16 April 2017
47,4.0 out of 5 stars,Colour is too different,23 April 2018
48,3.0 out of 5 stars,Product quality is OK at this price however order one number more than your regular size,22 July 2018
49,5.0 out of 5 stars,"Nice product and good quality, looking smart after wearing this 😜",6 October 2017
50,5.0 out of 5 stars,Loved it.... excellent and amazing fit and quality and value for money,5 October 2018
51,5.0 out of 5 stars,Was impressed by how the quality of the T-shirt is.. Got better than i expected it to be,26 November 2017
52,5.0 out of 5 stars,Good stuff. Value for money on discounted price,30 June 2018
53,5.0 out of 5 stars,42 inch it's fit for me,23 February 2019
54,2.0 out of 5 stars,Katso t shirt purchased arrived with two holes at the back of the t shirt. I realized it later when I was in the airport travelling to a different city. It was very embarrassing.,13 July 2018
55,5.0 out of 5 stars,Very good product nice fitting.,1 November 2018
56,4.0 out of 5 stars,Good quality product,15 January 2019
57,2.0 out of 5 stars,Loose threads everywhere. Had to cut em with scissor. And doesn't fit as expected.,15 January 2018
58,5.0 out of 5 stars,Smart look for teenage boys.Cloth material also fine.,9 November 2018
59,4.0 out of 5 stars,Looks really good but the fabric is somewhat itchy i guess,11 August 2018
60,1.0 out of 5 stars,Worst product ever seen in my life..fully damaged product..many holes in it.Hey Amazon what kind of product u sell..Totally different from as shown in picture...,3 November 2018
61,5.0 out of 5 stars,Best in fit and cloth material is also good. Colour is as shown in image. It's a great deal!,21 October 2018
62,3.0 out of 5 stars,Value for money spent. Good quality,5 June 2018
63,4.0 out of 5 stars,Perfect fitting. Soft material.,26 November 2018
64,5.0 out of 5 stars,Great fit n quality!,4 May 2018
65,2.0 out of 5 stars,Unsatisfied. Received small size,25 August 2018
66,5.0 out of 5 stars,I bought it for my husband and he is wearing it for more than5 Months.The quality of cloth is good.it is comfortable to wear and wash.,10 February 2019
67,4.0 out of 5 stars,Good,11 January 2019
68,4.0 out of 5 stars,Worth the price.,11 November 2018
69,5.0 out of 5 stars,Great....it fits as expected thank you Amazon.it worth it.my brother liked it very much.colour is same as shown in picture,14 May 2017
70,3.0 out of 5 stars,Material is good but the stitchings are not upto point. There too many loose ends.,26 September 2017
71,4.0 out of 5 stars,Colour shown in picture is different from what I have received. But still product is good.,22 March 2019
72,5.0 out of 5 stars,Very good product,10 June 2017
73,4.0 out of 5 stars,Fitting is really good and looks nice as well... Really worth for 288/-...,2 November 2018
74,5.0 out of 5 stars,A compact fit and awesome quality at a reasonable price.,2 February 2018
75,4.0 out of 5 stars,But the neck portion seems to get tight,22 February 2019
76,5.0 out of 5 stars,I ordered L but the fitting was tight. Exchanged for XL. Fits perfectly. Material is soft and comfortable.,22 August 2018
77,3.0 out of 5 stars,"Size is not exact as we expect, quality also not soo good, but appearance is as same as preview...",2 December 2018
78,5.0 out of 5 stars,When i wear this t-shirt it gives me very good looking,21 December 2018
79,5.0 out of 5 stars,Best fitting...I already have one of this shirt...Now I brought another one with different colour..,21 April 2018
80,2.0 out of 5 stars,Low Quality,26 March 2018
81,5.0 out of 5 stars,Great product.. As expected.. Fast delivery. And good quality too,26 March 2018
82,3.0 out of 5 stars,Size is not perfect as mentioned,27 March 2019
83,5.0 out of 5 stars,Super quality ...Go for it,7 August 2018
84,4.0 out of 5 stars,Nice looking. Same as in the display. Fitting is very good... Nice product. Thnxx to amazon for on time delivery.. Executive was quite decent and polite,22 October 2018
85,4.0 out of 5 stars,Good product &amp; i love it👌👌👌,25 November 2018
86,2.0 out of 5 stars,not proper fitting.,4 January 2018
87,4.0 out of 5 stars,Nice,27 February 2019
88,5.0 out of 5 stars,This is a nice one. If your size is medium go for large. Material is also good,13 March 2019
89,1.0 out of 5 stars,"Don't even think by seeing photos, product quality is not as shown in photo",16 May 2018
90,4.0 out of 5 stars,"quick delivery, good product...",23 October 2018
91,5.0 out of 5 stars,Nice product. Quality was very good.,7 November 2018
92,4.0 out of 5 stars,is ok,26 November 2018
93,5.0 out of 5 stars,"Woww... Its rsally a good product, material are so good n stiches are strong, comfortable to wear, and same product with color what was showed. Thnq amazon.",30 January 2018
94,5.0 out of 5 stars,Looks goodFits perfectlySuitable priceWorth the productMust buy!!!!,22 October 2017
95,4.0 out of 5 stars,Perfect fitting!,13 June 2018
96,5.0 out of 5 stars,Thank you Amazon for such an awesome product at very marginal cost... Delivery time is up to mark and quality of T-shirt is too good..,13 January 2019
97,1.0 out of 5 stars,Very cheep quality,20 December 2018
98,5.0 out of 5 stars,Quality is good,25 June 2017
99,4.0 out of 5 stars,The cost is high...but little worth of the cost,30 August 2018
100,1.0 out of 5 stars,Product is good but don't know why they have given me L instead of M,16 March 2018
101,2.0 out of 5 stars,PRODUCT QUALITY IS POOR,27 June 2018
102,5.0 out of 5 stars,Good,15 March 2019
103,4.0 out of 5 stars,Oh man.....its perfect in fitting ....the fabric is nice too..👍,27 June 2018
104,5.0 out of 5 stars,Good product,24 January 2019
105,4.0 out of 5 stars,Excellent,22 January 2019
106,4.0 out of 5 stars,Perfect fitting too good product with buying,30 October 2018
107,4.0 out of 5 stars,"Not a pure cotton, Good looking",25 July 2018
108,5.0 out of 5 stars,Good,21 October 2018
109,4.0 out of 5 stars,Fitted perfectly and look cool,13 October 2018
110,5.0 out of 5 stars,Good,24 November 2018
111,3.0 out of 5 stars,Ok,31 December 2018
112,5.0 out of 5 stars,Wow... It was more than i expected.. Loved it katso... Quality is excellent... Size is as expected.. Delivery is as expected...everything is good.. 👍,2 January 2018
113,1.0 out of 5 stars,Worst of money don't buy..,7 November 2018
114,1.0 out of 5 stars,Don't buy diz product.. once u wash it for first time .. se ond time its totally shinks 2inch less looking skinny,13 August 2017
115,4.0 out of 5 stars,The material is good. Be careful before choosing the size because the tshirt kind of shrinks after you wash it.,3 July 2018
116,4.0 out of 5 stars,Quality material.,25 November 2018
117,1.0 out of 5 stars,Not as shown,25 October 2018
118,5.0 out of 5 stars,Very Good Product,4 April 2018
119,5.0 out of 5 stars,just perfect as expected! loved the product.....,23 July 2017
120,4.0 out of 5 stars,Nice product and quality is also good,22 October 2018
121,5.0 out of 5 stars,"Very good fabric, fitting was perfect as expected..",4 July 2018
122,4.0 out of 5 stars,"Amazing fitting and colour.The fabric would have been better but overall a nice t,s....",24 June 2018
123,5.0 out of 5 stars,Love it! Fit t-shirts.. soo good,2 October 2017
124,3.0 out of 5 stars,T-shirt is good quality but the fit is a bit too tight on my arms and shoulders,28 February 2019
125,4.0 out of 5 stars,Is not better quality,5 March 2019
126,4.0 out of 5 stars,Same design like picture. Cloth is fine (not that great but it is what you should expect in this range). It is good for daily wear.,12 August 2017
127,4.0 out of 5 stars,Worth to try,26 December 2018
128,1.0 out of 5 stars,I got a defective item. Arms are uneven. There is a cut in chest area. It is loosing colour also. Don't buy.,27 March 2019
129,3.0 out of 5 stars,Product is Avatar if colour of product don't get faded,1 November 2018
130,5.0 out of 5 stars,Good product and delivered within estimated time.,18 April 2017
131,5.0 out of 5 stars,I'm 17 year old and this t shirt fit me as I wanted don't think much,14 October 2017
132,3.0 out of 5 stars,The neck loosens on wearing a few times. The sleeve length is a little long for me.,9 December 2018
133,3.0 out of 5 stars,"It's perfect wearing under any jacket,pullover etc.but don't over expect the quality.It's very thin.",16 January 2019
134,5.0 out of 5 stars,"In this price it is awesome. Fitted the body, except the length is slightly large but it's ok. Material soft. Colour as expected.You must go for it....",2 February 2017
135,4.0 out of 5 stars,"Good, but cloth quality is low.",30 November 2018
136,5.0 out of 5 stars,Awesome fit,16 November 2017
137,5.0 out of 5 stars,Good,27 January 2019
138,5.0 out of 5 stars,Its a very good and attractive T-shirt and also it quality was to good and it is under an affordable price also.,31 March 2019
139,4.0 out of 5 stars,Fitted nicely.....love it very much.....,3 December 2016
140,5.0 out of 5 stars,Great Product. Fitting as it is ever after few washes.,11 March 2018
141,5.0 out of 5 stars,nice one.. exact fit size,6 November 2018
142,5.0 out of 5 stars,Good for home/work out,16 February 2019
143,4.0 out of 5 stars,T shirt really worth buying. Cloth is fine and fitting is perfectly suits for me. I felt neck little bit tight except that everything is superb.,24 February 2018
144,5.0 out of 5 stars,Nice,17 November 2018
145,4.0 out of 5 stars,Fabric good bt size issue,6 December 2018
146,2.0 out of 5 stars,You can't use it for more than a month. The colour fades with every wash. Save your money. Thank you,27 April 2018
147,1.0 out of 5 stars,wrong items delivered,12 April 2019
148,5.0 out of 5 stars,"Awesome look, fits perfectly. I bought 3 of them.",12 June 2018
149,1.0 out of 5 stars,Friends this product is not even rs100 because the fabric n stich quality is too bad n worst please dnt buy it,5 June 2018
150,4.0 out of 5 stars,"Superb fit , quality is good , color is bit dull , not so bright as shown in above image , i think for this price range , it's the best u can get , go for it !",1 January 2017
151,5.0 out of 5 stars,Outstanding product ....very well done katso..it is perfectly slimfit..|,16 January 2019
152,5.0 out of 5 stars,"Good quality of cloth, comfortable and stylish as well",9 June 2017
